RegionID,SizeRank,RegionName,RegionType,City,StateName,12/31/2017,1/31/2018,2/28/2018,3/31/2018,4/30/2018,5/31/2018,6/30/2018,7/31/2018,8/31/2018,9/30/2018,10/31/2018,11/30/2018,12/31/2018,1/31/2019,2/28/2019,3/31/2019,4/30/2019,5/31/2019,6/30/2019,7/31/2019,8/31/2019,9/30/2019,10/31/2019,11/30/2019,12/31/2019,1/31/2020,2/29/2020,3/31/2020,4/30/2020,5/31/2020,6/30/2020,7/31/2020,8/31/2020,9/30/2020,Change Over Time
394813,189,"Macon-Bibb County, GA",Msa,Macon,GA,910,914,903,951,986,1032,1057,1080,1111,1121,1124,1099,1051,1016,1016,1067,1109,1144,1178,1205,1213,1198,1178,1148,1110,1089,1078,1099,1082,1070,1031,986,,,-910
394346,220,"Athens, GA",Msa,Athens,GA,862,806,821,914,1025,1099,1130,1129,1100,1055,1022,980,925,888,890,937,984,1022,1045,1057,1047,1029,986,943,888,855,859,906,946,977,975,961,929,883,21
394623,229,"Gainesville, GA",Msa,Gainesville,GA,1134,1087,1081,1142,1254,1340,1382,1377,1344,1316,1294,1263,1205,1161,1230,1270,1324,1305,1373,1436,1503,1512,1487,1434,1404,1385,1399,1455,1479,1502,1453,1403,1318,1234,100
395246,244,"Yuba City, CA",Msa,Yuba City,CA,435,400,367,355,369,408,451,488,522,544,555,532,489,433,412,416,448,484,524,569,587,592,589,579,541,501,480,489,473,455,421,400,374,358,-77
395009,251,"Punta Gorda, FL",Msa,Punta Gorda,FL,2002,2145,2277,2428,2456,2385,2256,2129,2048,1986,1997,2091,2207,2384,2548,2732,2724,2594,2426,2290,2178,2075,2054,2114,2175,2264,2318,2387,2331,2259,2132,2015,1877,1768,-234
395007,253,"Pueblo, CO",Msa,Pueblo,CO,704,659,631,638,645,683,722,763,800,814,822,782,739,696,670,680,692,715,724,719,744,757,779,731,672,634,633,672,680,726,740,773,762,758,54
395094,331,"Sherman, TX",Msa,Sherman,TX,117,120,132,143,152,160,192,411,631,832,852,862,849,819,801,825,855,897,929,971,992,993,986,955,903,847,820,844,857,884,880,884,859,812,695
394546,343,"Dunn, NC",Msa,Dunn,NC,780,765,771,815,861,880,870,838,827,793,764,716,686,661,712,767,813,818,824,838,809,784,748,719,673,630,609,632,651,666,638,608,560,512,-268
395166,383,"Truckee, CA",Msa,Truckee,CA,652,564,516,516,569,662,782,884,947,965,937,879,799,722,655,629,651,751,868,983,1050,1070,1024,926,799,696,640,647,654,705,733,752,699,642,-10
395153,399,"The Villages, FL",Msa,The Villages,FL,559,562,566,588,593,579,562,537,528,516,517,525,530,563,576,602,590,582,557,535,521,507,502,501,506,546,586,629,621,631,644,685,709,724,165
394586,504,"Faribault, MN",Msa,Faribault,MN,84,76,73,84,101,118,156,220,277,295,282,271,258,236,216,217,227,254,272,293,297,302,293,279,250,219,206,215,231,250,255,268,264,266,182
394309,527,"Albemarle, NC",Msa,Albemarle,NC,243,235,232,244,253,253,249,248,257,255,259,253,239,227,226,241,247,259,259,261,258,263,272,266,243,217,205,210,210,208,200,192,180,173,-70
394742,595,"Kerrville, TX",Msa,Kerrville,TX,385,367,353,348,358,374,410,445,461,447,417,393,370,349,340,342,360,373,387,404,419,424,414,403,391,377,368,369,364,358,358,365,360,341,-44
395091,641,"Shelbyville, TN",Msa,Shelbyville,TN,205,206,203,202,203,213,226,232,236,233,234,226,215,204,195,201,211,228,235,243,241,248,260,270,268,260,250,244,238,242,241,236,223,215,10
395230,672,"Wilmington, OH",Msa,Wilmington,OH,51,49,49,52,54,60,67,107,148,180,182,169,157,137,128,125,126,132,136,143,145,156,159,154,139,128,118,109,102,98,101,101,104,101,50
