RegionID,Stock_Market,Mortgage_Rate,Monthly_Supply_Of_Homes,Median_Price_Range
394640,2279.100098,5.85,10.5,125k - 150k
395167,2279.100098,5.85,10.5,200k - 225k
753924,2279.100098,5.85,10.5,350k - 400k
395169,2279.100098,5.85,10.5,100k - 125k
394619,2279.100098,5.85,10.5,225k - 250k
395238,2279.100098,5.85,10.5,225k - 250k
394415,2279.100098,5.85,10.5,400k - 450
394312,2279.100098,5.85,10.5,175k - 200k
394308,2279.100098,5.85,10.5,150k - 175k
394938,2279.100098,5.85,10.5,125k - 150k
394908,2279.100098,5.85,10.5,225k - 250k
394357,2279.100098,5.85,10.5,225k - 250k
394753,2279.100098,5.85,10.5,125k - 150k
394653,2279.100098,5.85,10.5,125k - 150k
394952,2279.100098,5.85,10.5,450k - 500k
394318,2279.100098,5.85,10.5,175k - 200k
394561,2279.100098,5.85,10.5,125k - 150k
394367,2279.100098,5.85,10.5,150k - 175k
394521,2279.100098,5.85,10.5,100k - 125k
394486,2279.100098,5.85,10.5,125k - 150k
394648,2279.100098,5.85,10.5,125k - 150k
394304,2279.100098,5.85,10.5,100k - 125k
753906,2279.100098,5.85,10.5,200k - 225k
394798,2279.100098,5.85,10.5,125k - 150k
395134,2279.100098,5.85,10.5,300k - 350k
394457,2279.100098,5.85,10.5,200k - 225k
395143,2279.100098,5.85,10.5,100k - 125k
394484,2279.100098,5.85,10.5,200k - 225k
395235,2279.100098,5.85,10.5,125k - 150k
395224,2279.100098,5.85,10.5,100k - 125k
395115,2279.100098,5.85,10.5,175k - 200k
394440,2279.100098,5.85,10.5,200k - 225k
394399,2279.100098,5.85,10.5,175k - 200k
395160,2279.100098,5.85,10.5,100k - 125k
394816,2279.100098,5.85,10.5,200k - 225k
394766,2279.100098,5.85,10.5,150k - 175k
394931,2279.100098,5.85,10.5,175k - 200k
394528,2279.100098,5.85,10.5,175k - 200k
394531,2279.100098,5.85,10.5,125k - 150k
394711,2279.100098,5.85,10.5,125k - 150k
394352,2279.100098,5.85,10.5,125k - 150k
394666,2279.100098,5.85,10.5,150k - 175k
395006,2279.100098,5.85,10.5,200k - 225k
394549,2279.100098,5.85,10.5,200k - 225k
394995,2279.100098,5.85,10.5,150k - 175k
395183,2279.100098,5.85,10.5,350k - 400k
394746,2279.100098,5.85,10.5,100k - 125k
395048,2279.100098,5.85,10.5,200k - 225k
394927,2279.100098,5.85,10.5,125k - 150k
394602,2279.100098,5.85,10.5,225k - 250k
394405,2279.100098,5.85,10.5,300k - 350k
394471,2279.100098,5.85,10.5,100k - 125k
394645,2279.100098,5.85,10.5,200k - 225k
394813,2279.100098,5.85,10.5,125k - 150k
394346,2279.100098,5.85,10.5,125k - 150k
394623,2279.100098,5.85,10.5,150k - 175k
395246,2279.100098,5.85,10.5,200k - 225k
395009,2279.100098,5.85,10.5,150k - 175k
395007,2279.100098,5.85,10.5,125k - 150k
395094,2279.100098,5.85,10.5,75k - 100k
394546,2279.100098,5.85,10.5,150k - 175k
395166,2279.100098,5.85,10.5,400k - 450
395153,2279.100098,5.85,10.5,175k - 200k
394586,2279.100098,5.85,10.5,175k - 200k
394309,2279.100098,5.85,10.5,100k - 125k
394742,2279.100098,5.85,10.5,150k - 175k
395091,2279.100098,5.85,10.5,75k - 100k
395230,2279.100098,5.85,10.5,100k - 125k
753899,2412.800049,6.03,10.3,450k - 500k
394463,2412.800049,6.03,10.3,225k - 250k
394514,2412.800049,6.03,10.3,150k - 175k
394974,2412.800049,6.03,10.3,200k - 225k
394692,2412.800049,6.03,10.3,150k - 175k
395209,2412.800049,6.03,10.3,350k - 400k
394856,2412.800049,6.03,10.3,250k - 275k
394347,2412.800049,6.03,10.3,175k - 200k
394404,2412.800049,6.03,10.3,300k - 350k
395057,2412.800049,6.03,10.3,550k - 600k
394532,2412.800049,6.03,10.3,125k - 150k
395025,2412.800049,6.03,10.3,300k - 350k
394976,2412.800049,6.03,10.3,225k - 250k
395078,2412.800049,6.03,10.3,300k - 350k
394865,2412.800049,6.03,10.3,200k - 225k
395056,2412.800049,6.03,10.3,450k - 500k
395121,2412.800049,6.03,10.3,150k - 175k
395148,2412.800049,6.03,10.3,150k - 175k
394358,2412.800049,6.03,10.3,250k - 275k
394530,2412.800049,6.03,10.3,225k - 250k
394982,2412.800049,6.03,10.3,100k - 125k
394998,2412.800049,6.03,10.3,250k - 275k
394458,2412.800049,6.03,10.3,150k - 175k
395045,2412.800049,6.03,10.3,300k - 350k
395055,2412.800049,6.03,10.3,150k - 175k
394943,2412.800049,6.03,10.3,200k - 225k
394466,2412.800049,6.03,10.3,125k - 150k
394475,2412.800049,6.03,10.3,125k - 150k
394735,2412.800049,6.03,10.3,150k - 175k
394775,2412.800049,6.03,10.3,250k - 275k
